iter	RMSE
0	53.50444862
1	48.80382438
2	44.52194332
3	40.69876283
4	37.51569335
5	34.47205991
6	31.67949451
7	29.05842878
8	26.68119142
9	24.55733415
10	22.58046216
11	20.79502384
12	19.1843855
13	17.85694223
14	16.56606422
15	15.30444175
16	14.07039018
17	12.98586023
18	12.08180351
19	11.3433808
20	10.53489187
21	9.844034483
22	9.236101368
23	8.677886567
24	8.139053968
25	7.690140386
26	7.265688901
27	6.875364382
28	6.556571395
29	6.263720284
30	5.994369243
31	5.733384787
32	5.535817282
33	5.38258854
34	5.212230975
35	5.051810324
36	4.894478569
37	4.753605578
38	4.646707093
39	4.519934475
40	4.423780487
41	4.32781024
42	4.256194424
43	4.169595918
44	4.089218673
45	4.02948726
46	3.969416317
47	3.903629418
48	3.855858008
49	3.812143141
50	3.771370124
51	3.717995378
52	3.667166798
53	3.636785217
54	3.598663293
55	3.560719452
56	3.534561815
57	3.505829593
58	3.476529264
59	3.45481409
60	3.420505638
61	3.389010345
62	3.366449223
63	3.341859131
64	3.322874778
65	3.306235579
66	3.284109423
67	3.269658297
68	3.251650849
69	3.229083014
70	3.212290848
71	3.194677471
72	3.181305113
73	3.161063806
74	3.139843929
75	3.116835327
76	3.09689424
77	3.082022417
78	3.066040702
79	3.050693706
80	3.039855412
81	3.026968532
82	3.016160707
83	3.000963004
84	2.987197493
85	2.974593433
86	2.957015539
87	2.944417307
88	2.93241597
89	2.921588257
90	2.908418476
91	2.898360046
92	2.887256074
93	2.873128772
94	2.865479904
95	2.855310931
96	2.846912129
97	2.835817054
98	2.826612838
99	2.816517762
