iter	Passed	Remaining
0	17	1735
1	33	1634
2	53	1742
3	78	1874
4	90	1722
5	110	1738
6	125	1666
7	140	1621
8	153	1550
9	165	1488
10	174	1412
11	187	1377
12	198	1326
13	204	1255
14	214	1214
15	223	1172
16	233	1139
17	243	1108
18	254	1083
19	263	1055
20	272	1026
21	281	998
22	290	972
23	299	949
24	308	924
25	316	901
26	325	880
27	333	858
28	337	825
29	345	806
30	353	787
31	362	771
32	371	753
33	381	740
34	391	727
35	404	719
36	417	710
37	431	703
38	443	693
39	460	691
40	472	679
41	483	668
42	495	657
43	508	646
44	517	633
45	527	618
46	535	603
47	544	589
48	552	575
49	562	562
50	573	551
51	583	538
52	594	527
53	604	514
54	613	501
55	623	490
56	633	477
57	643	466
58	653	453
59	662	441
60	671	429
61	681	417
62	692	406
63	701	394
64	712	383
65	724	373
66	735	362
67	748	352
68	760	341
69	777	333
70	791	323
71	808	314
72	820	303
73	835	293
74	849	283
75	860	271
76	868	259
77	878	247
78	887	236
79	897	224
80	906	212
81	915	201
82	924	189
83	933	177
84	943	166
85	954	155
86	967	144
87	983	134
88	994	122
89	1006	111
90	1018	100
91	1027	89
92	1037	78
93	1045	66
94	1056	55
95	1067	44
96	1079	33
97	1089	22
98	1102	11
99	1113	0
