iter	RMSE
0	55.59972068
1	53.11985306
2	50.7372865
3	48.60273865
4	46.3429029
5	44.26772417
6	42.43364384
7	40.67364262
8	38.92249551
9	37.11601235
10	35.53541818
11	33.92777638
12	32.45156327
13	31.08358413
14	29.84643576
15	28.53571354
16	27.34101754
17	26.16117851
18	25.01889762
19	24.02437661
20	23.06937103
21	22.14278792
22	21.19485632
23	20.31293738
24	19.46308876
25	18.65568468
26	17.91854413
27	17.19812359
28	16.60041923
29	15.99517046
30	15.45434905
31	14.89102154
32	14.30789511
33	13.77165066
34	13.26763223
35	12.83787831
36	12.35259696
37	11.89218518
38	11.47270448
39	11.06171839
40	10.70413992
41	10.34042534
42	10.0284671
43	9.761049138
44	9.441740354
45	9.146447132
46	8.863514942
47	8.625794784
48	8.391650518
49	8.142262653
50	7.942971785
51	7.741903556
52	7.555440281
53	7.371211444
54	7.20632279
55	7.039851521
56	6.886878893
57	6.732457296
58	6.586243286
59	6.460388083
60	6.332810816
61	6.210943623
62	6.09377934
63	5.987281754
64	5.889992384
65	5.772406334
66	5.679301918
67	5.589302087
68	5.506213543
69	5.427175195
70	5.357850023
71	5.279372285
72	5.221863332
73	5.151426079
74	5.082264698
75	5.008841811
76	4.943368176
77	4.888660152
78	4.82936358
79	4.764357621
80	4.725991093
81	4.681560492
82	4.643445099
83	4.593704345
84	4.550881057
85	4.512663071
86	4.480460552
87	4.424450285
88	4.396359347
89	4.365664682
90	4.344115465
91	4.318645975
92	4.297581111
93	4.27044214
94	4.225841586
95	4.191881424
96	4.172729568
97	4.160288356
98	4.139408261
99	4.112518715
100	4.071075793
101	4.055120787
102	4.026077616
103	3.992808549
104	3.974284786
105	3.960369722
106	3.944475471
107	3.920704032
108	3.911247365
109	3.898895322
110	3.872529859
111	3.849862649
112	3.83941181
113	3.837801384
114	3.828281885
115	3.806480467
116	3.786395531
117	3.777831035
118	3.764601909
119	3.758128132
120	3.750759757
121	3.733061461
122	3.719813817
123	3.703938678
124	3.681521543
125	3.669418818
126	3.648625124
127	3.621213314
128	3.597036751
129	3.584543641
130	3.572577758
131	3.558984705
132	3.551086061
133	3.541202076
134	3.531725524
135	3.522795285
136	3.511392987
137	3.503828518
138	3.497092461
139	3.48844258
140	3.472493473
141	3.465923591
142	3.464985665
143	3.452482585
144	3.451695668
145	3.442398309
146	3.437261224
147	3.428107029
148	3.416681875
149	3.413866403
150	3.404576706
151	3.398952692
152	3.384413503
153	3.372884411
154	3.363397662
155	3.355211888
156	3.343667196
157	3.329748577
158	3.319482323
159	3.310230715
160	3.299691007
161	3.291994339
162	3.280378552
163	3.277183809
164	3.26261263
165	3.258095371
166	3.250594827
167	3.250148796
168	3.240276833
169	3.231302572
170	3.227462846
171	3.217479021
172	3.209746227
173	3.191375593
174	3.18602344
