iter	Passed	Remaining
0	12	12270
1	14	7314
2	16	5552
3	19	4845
4	21	4359
5	24	3998
6	26	3723
7	28	3514
8	30	3312
9	31	3157
10	34	3117
11	37	3078
12	39	3024
13	42	2974
14	45	2960
15	47	2897
16	49	2869
17	51	2827
18	55	2844
19	57	2814
20	59	2778
21	61	2753
22	64	2730
23	67	2748
24	70	2759
25	72	2733
26	75	2724
27	77	2696
28	79	2663
29	81	2634
30	83	2623
31	86	2607
32	88	2584
33	90	2558
34	92	2553
35	94	2535
36	96	2520
37	99	2526
38	103	2542
39	105	2522
40	107	2504
41	108	2484
42	111	2483
43	113	2470
44	115	2458
45	118	2461
46	120	2447
47	123	2455
48	125	2442
49	127	2428
50	130	2424
51	132	2417
52	134	2403
53	136	2391
54	138	2384
55	140	2376
56	142	2364
57	145	2361
58	147	2356
59	150	2353
60	152	2346
61	154	2338
62	156	2328
63	158	2315
64	160	2315
65	165	2338
66	167	2331
67	169	2324
68	172	2327
69	174	2319
70	177	2316
71	179	2314
72	181	2306
73	183	2299
74	185	2288
75	187	2279
76	189	2270
77	191	2264
78	194	2269
79	197	2266
80	199	2258
81	201	2253
82	203	2245
83	205	2238
84	207	2236
85	210	2233
86	212	2235
87	215	2234
88	218	2233
89	220	2226
90	222	2223
91	224	2218
92	227	2214
93	229	2208
94	231	2203
95	233	2194
96	234	2185
97	236	2177
98	238	2171
99	240	2167
100	243	2163
101	245	2161
102	247	2156
103	250	2155
104	252	2150
105	253	2141
106	256	2136
107	258	2135
108	260	2131
109	263	2130
110	265	2125
111	267	2118
112	269	2112
113	270	2100
114	272	2099
115	275	2097
116	277	2091
117	279	2087
118	281	2085
119	284	2083
120	286	2077
121	288	2074
122	290	2070
123	292	2066
124	294	2061
125	296	2057
126	298	2054
127	301	2051
128	303	2052
129	306	2054
130	309	2051
131	311	2047
132	313	2042
133	315	2037
134	317	2036
135	321	2040
136	323	2039
137	326	2039
138	328	2035
139	330	2032
140	333	2029
141	335	2028
142	337	2020
143	339	2017
144	340	2006
145	342	2003
146	344	2000
147	347	1998
148	349	1996
149	351	1993
150	354	1995
151	357	1992
152	359	1988
153	361	1985
154	363	1981
155	365	1979
156	368	1978
157	370	1976
158	373	1974
159	375	1971
160	377	1968
161	380	1966
162	383	1971
163	386	1969
164	389	1968
165	391	1965
166	393	1962
167	394	1952
168	397	1954
169	400	1955
170	402	1952
171	404	1949
172	406	1944
173	409	1942
174	411	1939
175	413	1937
176	416	1935
177	418	1932
178	420	1928
179	423	1928
180	425	1924
181	427	1921
182	429	1919
183	432	1917
184	434	1915
185	436	1910
186	438	1907
187	440	1904
188	443	1901
189	446	1904
190	449	1902
191	451	1901
192	453	1896
193	455	1892
194	457	1888
195	459	1886
196	462	1885
197	464	1882
198	466	1878
199	468	1875
200	470	1872
201	473	1871
202	476	1868
203	478	1868
204	481	1866
205	483	1864
206	487	1867
207	489	1864
208	492	1862
209	494	1861
210	496	1858
211	498	1854
212	501	1852
213	503	1849
214	505	1845
215	507	1842
216	510	1842
217	512	1839
218	515	1838
219	517	1835
220	519	1831
221	522	1832
222	525	1830
223	528	1829
224	530	1827
225	532	1825
226	535	1822
227	537	1819
228	540	1818
229	543	1818
230	545	1816
231	548	1814
232	550	1812
233	552	1808
234	555	1806
235	557	1805
236	561	1807
237	563	1804
238	565	1800
239	567	1797
240	570	1796
241	572	1794
242	574	1790
243	577	1788
244	579	1785
245	581	1782
246	583	1780
247	586	1778
248	589	1777
249	593	1779
250	595	1776
251	597	1774
252	599	1771
253	602	1768
254	604	1767
255	607	1764
256	609	1761
257	611	1759
258	613	1755
259	616	1753
260	618	1752
261	621	1750
262	624	1748
263	626	1746
264	628	1743
265	630	1740
266	632	1737
267	635	1734
268	637	1732
269	639	1729
270	642	1727
271	644	1726
272	647	1724
273	649	1721
274	652	1719
275	655	1718
276	657	1715
277	659	1712
278	662	1711
279	664	1708
280	666	1706
281	669	1704
282	672	1703
283	674	1701
284	677	1698
285	679	1696
286	682	1695
287	685	1694
288	687	1691
289	689	1688
290	691	1685
291	694	1682
292	696	1681
293	699	1679
294	701	1676
295	703	1673
296	705	1670
297	707	1667
298	710	1665
299	712	1663
300	715	1661
301	718	1660
302	720	1657
303	722	1654
304	724	1651
305	726	1648
306	729	1646
307	732	1645
308	734	1643
309	737	1641
310	739	1638
311	741	1635
312	744	1634
313	747	1633
314	749	1630
315	751	1627
316	753	1624
317	755	1620
318	757	1617
319	759	1614
320	762	1611
321	763	1608
322	766	1605
323	768	1603
324	770	1600
325	773	1598
326	775	1595
327	777	1592
328	779	1590
329	782	1587
330	783	1584
331	786	1582
332	788	1579
333	790	1576
334	793	1575
335	796	1573
336	798	1570
337	801	1569
338	803	1566
339	805	1563
340	808	1561
341	810	1559
342	813	1557
343	815	1555
344	817	1552
345	819	1548
346	822	1547
347	825	1545
348	827	1543
349	829	1541
350	832	1538
351	834	1536
352	837	1534
353	840	1534
354	843	1532
355	845	1530
356	848	1529
357	851	1527
358	854	1525
359	856	1523
360	858	1520
361	861	1517
362	863	1515
363	865	1512
364	867	1509
365	869	1506
366	872	1505
367	874	1502
368	877	1500
369	879	1497
370	881	1495
371	884	1493
372	886	1490
373	890	1490
374	892	1487
375	894	1484
376	897	1482
377	900	1481
378	902	1478
379	905	1477
380	908	1475
381	910	1473
382	912	1470
383	914	1467
384	917	1465
385	920	1463
386	922	1461
387	925	1459
388	928	1457
389	930	1456
390	933	1454
391	936	1453
392	939	1451
393	942	1449
394	944	1447
395	947	1444
396	950	1443
397	952	1440
398	954	1438
399	956	1435
400	959	1432
401	961	1430
402	963	1427
403	966	1425
404	968	1422
405	970	1419
